# ParticleTable.txt file containing particle
# properties for ParticlePropertySvc, EvtGen and Pythia.
# Uses PDG 2014 when available.
# https://gitlab.cern.ch/lhcb-conddb/DDDB/-/blob/master/param/ParticleTable.txt
PARTICLE,GEANTID,PDGID,CHARGE,MASS(GeV),TLIFE(s),EVTGENNAME,PYTHIAID,MAXWIDTH
f_0(980),596,9010221,0.0,0.99000000,1.097020e-23,f_0,10221,0.00000000
a_0(980)0,132,9000111,0.0,0.98000000,8.776163e-24,a_00,10111,0.00000000
a_0(980)+,133,9000211,1.0,0.98000000,8.776163e-24,a_0+,10211,0.00000000
a_0(980)-,134,-9000211,-1.0,0.98000000,8.776163e-24,a_0-,-10211,0.00000000
phi(1020),37,333,0.0,1.01946100,1.549099e-22,phi,333,0.00000000
h_1(1170),597,10223,0.0,1.17000000,1.828367e-24,h_1,10223,0.00000000
b_1(1235)0,588,10113,0.0,1.22950000,4.635297e-24,b_10,10113,0.00000000
b_1(1235)+,592,10213,1.0,1.22950000,4.635297e-24,b_1+,10213,0.00000000
b_1(1235)-,593,-10213,-1.0,1.22950000,4.635297e-24,b_1-,-10213,0.00000000
a_1(1260)0,135,20113,0.0,1.23000000,1.567172e-24,a_10,20113,0.00000000
a_1(1260)+,42,20213,1.0,1.23000000,1.567172e-24,a_1+,20213,0.00000000
a_1(1260)-,43,-20213,-1.0,1.23000000,1.567172e-24,a_1-,-20213,0.00000000
f_2(1270),367,225,0.0,1.27550000,3.555982e-24,f_2,225,0.00000000
f_1(1285),687,20223,0.0,1.28190000,2.899612e-23,f_1,20223,0.00000000
eta(1295),811,100221,0.0,1.29400000,1.196749e-23,eta(2S),0,0.00000000
pi(1300)0,805,100111,0.0,1.30000000,1.645530e-24,pi(2S)0,0,0.00000000
pi(1300)+,807,100211,1.0,1.30000000,1.645530e-24,pi(2S)+,0,0.00000000
pi(1300)-,808,-100211,-1.0,1.30000000,1.645530e-24,pi(2S)-,0,0.00000000
a_2(1320)0,136,115,0.0,1.31690000,6.151516e-24,a_20,115,0.00000000
a_2(1320)+,137,215,1.0,1.31690000,6.151516e-24,a_2+,215,0.00000000
a_2(1320)-,138,-215,-1.0,1.31690000,6.151516e-24,a_2-,-215,0.00000000
f_0(1370),686,10221,0.0,1.35000000,1.880606e-24,f'_0,10331,0.00000000
h_1(1380),604,10333,0.0,1.41600000,7.313467e-24,h'_1,10333,0.00000000
pi_1(1400)0,1021,9000113,0.0,1.35400000,1.994582e-24,pi_1(1400)0,0,0.00000000
pi_1(1400)+,1023,9000213,1.0,1.35400000,1.994582e-24,pi_1(1400)+,0,0.00000000
pi_1(1400)-,1024,-9000213,-1.0,1.35400000,1.994582e-24,pi_1(1400)-,0,0.00000000
eta(1405)0,1025,9020221,0.0,1.40880000,1.313796e-23,eta(1405)0,0,0.00000000
omega(1420),812,100223,0.0,1.42500000,3.061452e-24,omega(2S),0,0.00000000
f_1(1420),692,20333,0.0,1.42640000,1.198929e-23,f'_1,20333,0.00000000
rho(1450)0,806,100113,0.0,1.46500000,1.645530e-24,rho(2S)0,0,0.00000000
rho(1450)+,809,100213,1.0,1.46500000,1.645530e-24,rho(2S)+,0,0.00000000
rho(1450)-,810,-100213,-1.0,1.46500000,1.645530e-24,rho(2S)-,0,0.00000000
a_0(1450)0,587,10111,0.0,1.46700000,2.483820e-24,a_0(1450)0,0,0.00000000
a_0(1450)+,590,10211,1.0,1.46700000,2.483820e-24,a_0(1450)+,0,0.00000000
a_0(1450)-,591,-10211,-1.0,1.46700000,2.483820e-24,a_0(1450)-,0,0.00000000
eta(1475),826,100331,0.0,1.47500000,7.743673e-24,eta(1475),0,0.00000000
f_0(1500),855,9030221,0.0,1.50600000,6.038644e-24,f_0(1500),0,0.00000000
f'_2(1525),380,335,0.0,1.52500000,9.016605e-24,f'_2,335,0.00000000
pi_1(1600)0,1027,9010113,0.0,1.66000000,2.742551e-24,pi_1(1600)0,0,0.00000000
pi_1(1600)+,1029,9010213,1.0,1.66000000,2.742551e-24,pi_1(1600)+,0,0.00000000
pi_1(1600)-,1030,-9010213,-1.0,1.66000000,2.742551e-24,pi_1(1600)-,0,0.00000000
eta_2(1645),598,10225,0.0,1.61700000,3.636531e-24,eta_2(1645),0,0.00000000
omega(1650),746,30223,0.0,1.67000000,2.089563e-24,omega(1650),0,0.00000000
pi_2(1670)0,589,10115,0.0,1.67060000,2.551209e-24,pi_2(1670)0,0,0.00000000
pi_2(1670)+,594,10215,1.0,1.67060000,2.551209e-24,pi_2(1670)+,0,0.00000000
pi_2(1670)-,595,-10215,-1.0,1.67060000,2.551209e-24,pi_2(1670)-,0,0.00000000
omega_3(1670),368,227,0.0,1.66700000,3.917930e-24,omega_3(1670),0,0.00000000
phi(1680),827,100333,0.0,1.68000000,4.388081e-24,phi(1680),0,0.00000000
rho_3(1690)0,361,117,0.0,1.68880000,4.088274e-24,rho_3(1690)0,0,0.00000000
rho_3(1690)+,363,217,1.0,1.68880000,4.088274e-24,rho_3(1690)+,0,0.00000000
rho_3(1690)-,364,-217,-1.0,1.68880000,4.088274e-24,rho_3(1690)-,0,0.00000000
rho(1700)0,743,30113,0.0,1.72000000,2.632849e-24,rho(3S)0,0,0.00000000
rho(1700)+,744,30213,1.0,1.72000000,2.632849e-24,rho(3S)+,0,0.00000000
rho(1700)-,745,-30213,-1.0,1.72000000,2.632849e-24,rho(3S)-,0,0.00000000
f_0(1710),603,10331,0.0,1.70400000,5.351317e-24,f_0(1710),0,0.00000000
pi(1800)0,840,9010111,0.0,1.81000000,3.164482e-24,pi(1800)0,0,0.00000000
pi(1800)+,841,9010211,1.0,1.81000000,3.164482e-24,pi(1800)+,0,0.00000000
pi(1800)-,842,-9010211,-1.0,1.81000000,3.164482e-24,pi(1800)-,0,0.00000000
phi_3(1850),381,337,0.0,1.85400000,7.565657e-24,phi_3(1850),0,0.00000000
eta_2(1870),605,10335,0.0,1.85400000,0.000000e+00,eta_2(1870),0,0.00000000
f_2(1950),813,9050225,0.0,1.93600000,1.418560e-24,f_2(1950),0,0.00000000
f_2(2010),828,9060225,0.0,2.01000000,3.291061e-24,f_2(2010),0,0.00000000
a_4(2040)0,362,119,0.0,1.96700000,2.581224e-24,a_4(2040)0,0,0.00000000
a_4(2040)+,365,219,1.0,1.96700000,2.581224e-24,a_4(2040)+,0,0.00000000
a_4(2040)-,366,-219,-1.0,1.96700000,2.581224e-24,a_4(2040)-,0,0.00000000
f_4(2050),369,229,0.0,2.01800000,2.777267e-24,f_4(2050),0,0.00000000
f_2(2300),857,9080225,0.0,2.29700000,4.417530e-24,f_2(2300),0,0.00000000
f_2(2340),858,9090225,0.0,2.35000000,2.063361e-24,f_2(2340),0,0.00000000
K0,370,311,0.0,0.49761100,0.000000e+00,K0,311,0.00000000
K~0,371,-311,0.0,0.49761100,0.000000e+00,anti-K0,-311,0.00000000
KS0,16,310,0.0,0.49761100,8.956400e-11,K_S0,310,0.00000000
KL0,10,130,0.0,0.49761100,5.116000e-08,K_L0,130,0.00000000
K+,11,321,1.0,0.49367700,1.238000e-08,K+,321,0.00000000
K-,12,-321,-1.0,0.49367700,1.238000e-08,K-,-321,0.00000000
K*(892)0,40,313,0.0,0.89555000,1.391569e-23,K*0,313,0.00000000
K*(892)~0,41,-313,0.0,0.89555000,1.391569e-23,anti-K*0,-313,0.00000000
K*(892)+,38,323,1.0,0.89166000,1.308573e-23,K*+,323,0.00000000
K*(892)-,39,-323,-1.0,0.89166000,1.308573e-23,K*-,-323,0.00000000
K_1(1270)0,141,10313,0.0,1.27200000,7.313469e-24,K_10,10313,0.00000000
K_1(1270)~0,142,-10313,0.0,1.27200000,7.313469e-24,anti-K_10,-10313,0.00000000
K_1(1270)+,139,10323,1.0,1.27200000,7.313469e-24,K_1+,10323,0.00000000
K_1(1270)-,140,-10323,-1.0,1.27200000,7.313469e-24,K_1-,-10323,0.00000000
K_1(1400)0,145,20313,0.0,1.40300000,3.782829e-24,K'_10,20313,0.00000000
K_1(1400)~0,146,-20313,0.0,1.40300000,3.782829e-24,anti-K'_10,-20313,0.00000000
K_1(1400)+,143,20323,1.0,1.40300000,3.782829e-24,K'_1+,20323,0.00000000
K_1(1400)-,144,-20323,-1.0,1.40300000,3.782829e-24,K'_1-,-20323,0.00000000
K*(1410)0,816,100313,0.0,1.42100000,2.837122e-24,K'*0,0,0.00000000
K*(1410)~0,817,-100313,0.0,1.42100000,2.837122e-24,anti-K'*0,0,0.00000000
K*(1410)+,822,100323,1.0,1.42100000,2.837122e-24,K'*+,0,0.00000000
K*(1410)-,823,-100323,-1.0,1.42100000,2.837122e-24,K'*-,0,0.00000000
K*_0(1430)0,149,10311,0.0,1.43000000,2.437823e-24,K_0*0,10311,0.00000000
K*_0(1430)~0,150,-10311,0.0,1.43000000,2.437823e-24,anti-K_0*0,-10311,0.00000000
K*_0(1430)+,147,10321,1.0,1.43000000,2.437823e-24,K_0*+,10321,0.00000000
K*_0(1430)-,148,-10321,-1.0,1.43000000,2.437823e-24,K_0*-,-10321,0.00000000
K*_2(1430)0,153,315,0.0,1.43240000,6.038644e-24,K_2*0,315,0.00000000
K*_2(1430)~0,154,-315,0.0,1.43240000,6.038644e-24,anti-K_2*0,-315,0.00000000
K*_2(1430)+,151,325,1.0,1.42560000,6.682357e-24,K_2*+,325,0.00000000
K*_2(1430)-,152,-325,-1.0,1.42560000,6.682357e-24,K_2*-,-325,0.00000000
K(1460)0,814,100311,0.0,1.43240000,0.000000e+00,K(1460)0,0,0.00000000
K(1460)~0,815,-100311,0.0,1.43240000,0.000000e+00,anti-K(1460)0,0,0.00000000
K(1460)+,820,100321,1.0,1.43240000,0.000000e+00,K(1460)+,0,0.00000000
K(1460)-,821,-100321,-1.0,1.43240000,0.000000e+00,K(1460)-,0,0.00000000
K*(1680)0,747,30313,0.0,1.71800000,2.056913e-24,K''*0,0,0.00000000
K*(1680)~0,748,-30313,0.0,1.71800000,2.056913e-24,anti-K''*0,0,0.00000000
K*(1680)+,749,30323,1.0,1.71800000,2.056913e-24,K''*+,0,0.00000000
K*(1680)-,750,-30323,-1.0,1.71800000,2.056913e-24,K''*-,0,0.00000000
K_2(1770)0,599,10315,0.0,1.77300000,3.538775e-24,K_2(1770)0,0,0.00000000
K_2(1770)~0,600,-10315,0.0,1.77300000,3.538775e-24,anti-K_2(1770)0,0,0.00000000
K_2(1770)+,601,10325,1.0,1.77300000,3.538775e-24,K_2(1770)+,0,0.00000000
K_2(1770)-,602,-10325,-1.0,1.77300000,3.538775e-24,K_2(1770)-,0,0.00000000
K*_3(1780)0,372,317,0.0,1.77600000,4.139699e-24,K_3*0,0,0.00000000
K*_3(1780)~0,373,-317,0.0,1.77600000,4.139699e-24,anti-K_3*0,0,0.00000000
K*_3(1780)+,376,327,1.0,1.77600000,4.139699e-24,K_3*+,0,0.00000000
K*_3(1780)-,377,-327,-1.0,1.77600000,4.139699e-24,K_3*-,0,0.00000000
K_2(1820)0,688,20315,0.0,1.81900000,2.493227e-24,K_2(1820)0,0,0.00000000
K_2(1820)~0,689,-20315,0.0,1.81900000,2.493227e-24,anti-K_2(1820)0,0,0.00000000
K_2(1820)+,690,20325,1.0,1.81900000,2.493227e-24,K_2(1820)+,0,0.00000000
K_2(1820)-,691,-20325,-1.0,1.81900000,2.493227e-24,K_2(1820)-,0,0.00000000
K*_2(1980)0,818,100315,0.0,1.97300000,0.000000e+00,K_2*(1980)0,0,0.00000000
K*_2(1980)~0,819,-100315,0.0,1.97300000,0.000000e+00,anti-K_2*(1980)0,0,0.00000000
K*_2(1980)+,824,100325,1.0,1.97300000,0.000000e+00,K_2*(1980)+,0,0.00000000
K*_2(1980)-,825,-100325,-1.0,1.97300000,0.000000e+00,K_2*(1980)-,0,0.00000000
K*_4(2045)0,374,319,0.0,2.04500000,3.324304e-24,K_4*0,0,0.00000000
K*_4(2045)~0,375,-319,0.0,2.04500000,3.324304e-24,anti-K_4*0,0,0.00000000
K*_4(2045)+,378,329,1.0,2.04500000,3.324304e-24,K_4*+,0,0.00000000
K*_4(2045)-,379,-329,-1.0,2.04500000,3.324304e-24,K_4*-,0,0.00000000
D0,58,421,0.0,1.86483000,4.101000e-13,D0,421,0.00000000
D~0,59,-421,0.0,1.86483000,4.101000e-13,anti-D0,-421,0.00000000
D+,56,411,1.0,1.86965000,1.040000e-12,D+,411,0.00000000
D-,57,-411,-1.0,1.86965000,1.040000e-12,D-,-411,0.00000000
D*(2007)0,67,423,0.0,2.00685000,1.000003e-19,D*0,423,0.00000000
D*(2007)~0,68,-423,0.0,2.00685000,1.000003e-19,anti-D*0,-423,0.00000000
D*(2010)+,65,413,1.0,2.01026000,7.892230e-21,D*+,413,0.00000000
D*(2010)-,66,-413,-1.0,2.01026000,7.892230e-21,D*-,-413,0.00000000
D*_0+,155,10411,1.0,2.34900000,2.978335e-24,D_0*+,10411,0.00000000
D*_0-,159,-10411,-1.0,2.34900000,2.978335e-24,D_0*-,-10411,0.00000000
D*_00,163,10421,0.0,2.30000000,2.402234e-24,D_0*0,10421,0.00000000
D*_0~0,167,-10421,0.0,2.30000000,2.402234e-24,anti-D_0*0,-10421,0.00000000
D_1(H)0,164,20423,0.0,2.44500000,2.630000e-24,D'_10,20423,0.00000000
D_1(H)~0,168,-20423,0.0,2.44500000,2.630000e-24,anti-D'_10,-20423,0.00000000
D_1(H)+,156,20413,1.0,2.44500000,2.630000e-24,D'_1+,20413,0.00000000
D_1(H)-,160,-20413,-1.0,2.44500000,2.630000e-24,D'_1-,-20413,0.00000000
D_1(2420)0,165,10423,0.0,2.42080000,2.428827e-23,D_10,10423,0.00000000
D_1(2420)~0,169,-10423,0.0,2.42080000,2.428827e-23,anti-D_10,-10423,0.00000000
D_1(2420)+,157,10413,1.0,2.42300000,3.290000e-23,D_1+,10413,0.00000000
D_1(2420)-,161,-10413,-1.0,2.42300000,3.290000e-23,D_1-,-10413,0.00000000
D*_2(2460)0,170,425,0.0,2.46070000,1.385709e-23,D_2*0,425,0.00000000
D*_2(2460)~0,166,-425,0.0,2.46070000,1.385709e-23,anti-D_2*0,-425,0.00000000
D*_2(2460)+,162,415,1.0,2.46540000,1.778952e-23,D_2*+,415,0.00000000
D*_2(2460)-,158,-415,-1.0,2.46540000,1.778952e-23,D_2*-,-415,0.00000000
D(2S)0,761,100421,0.0,2.58000000,0.000000e+00,D(2S)0,0,0.00000000
D(2S)~0,762,-100421,0.0,2.58000000,0.000000e+00,anti-D(2S)0,0,0.00000000
D(2S)+,757,100411,1.0,2.58000000,0.000000e+00,D(2S)+,0,0.00000000
D(2S)-,758,-100411,-1.0,2.58000000,0.000000e+00,D(2S)-,0,0.00000000
D*(2640)0,763,100423,0.0,2.64000000,0.000000e+00,D*(2S)0,0,0.00000000
D*(2640)~0,764,-100423,0.0,2.64000000,0.000000e+00,anti-D*(2S)0,0,0.00000000
D*(2640)+,759,100413,1.0,2.64000000,0.000000e+00,D*(2S)+,0,0.00000000
D*(2640)-,760,-100413,-1.0,2.64000000,0.000000e+00,D*(2S)-,0,0.00000000
D_s+,60,431,1.0,1.96834000,5.043770e-13,D_s+,431,0.00000000
D_s-,61,-431,-1.0,1.96834000,5.043770e-13,D_s-,-431,0.00000000
D*_s+,69,433,1.0,2.11220000,1.000003e-19,D_s*+,433,0.00000000
D*_s-,70,-433,-1.0,2.11220000,1.000003e-19,D_s*-,-433,0.00000000
D*_s0+,171,10431,1.0,2.31780000,6.582100e-22,D_s0*+,10431,0.00000000
D*_s0-,175,-10431,-1.0,2.31780000,6.582100e-22,D_s0*-,-10431,0.00000000
D_s1(2460)+,172,20433,1.0,2.45950000,6.582100e-22,D_s1+,20433,0.00000000
D_s1(2460)-,176,-20433,-1.0,2.45950000,6.582100e-22,D_s1-,-20433,0.00000000
D_s1(2536)+,173,10433,1.0,2.53511000,7.154480e-22,D'_s1+,10433,0.00000000
D_s1(2536)-,177,-10433,-1.0,2.53511000,7.154480e-22,D'_s1-,-10433,0.00000000
D*_s2+,174,435,1.0,2.56910000,3.894746e-23,D_s2*+,435,0.00000000
D*_s2-,178,-435,-1.0,2.56910000,3.894746e-23,D_s2*-,-435,0.00000000
B0,73,511,0.0,5.27964000,1.520120e-12,B0,511,0.00000000
B~0,74,-511,0.0,5.27964000,1.520120e-12,anti-B0,-511,0.00000000
B0H,99998,510,0.0,5.27958000,1.519000e-12,B0H,0,0.00000000
B0L,99999,150,0.0,5.27958000,1.519000e-12,B0L,0,0.00000000
B+,71,521,1.0,5.27933000,1.638158e-12,B+,521,0.00000000
B-,72,-521,-1.0,5.27933000,1.638158e-12,B-,-521,0.00000000
B*0,189,513,0.0,5.32470000,1.000019e-19,B*0,513,0.00000000
B*~0,190,-513,0.0,5.32470000,1.000019e-19,anti-B*0,-513,0.00000000
B*-,187,-523,-1.0,5.32470000,1.000019e-19,B*-,-523,0.00000000
B*+,188,523,1.0,5.32470000,1.000019e-19,B*+,523,0.00000000
B*_00,201,10511,0.0,5.73800000,4.390000e-24,B_0*0,10511,0.00000000
B*_0~0,205,-10511,0.0,5.73800000,4.390000e-24,anti-B_0*0,-10511,0.00000000
B*_0+,193,10521,1.0,5.73800000,4.390000e-24,B_0*+,10521,0.00000000
B*_0-,197,-10521,-1.0,5.73800000,4.390000e-24,B_0*-,-10521,0.00000000
B_1(H)0,202,20513,0.0,5.75700000,2.630000e-24,B'_10,20513,0.00000000
B_1(H)~0,206,-20513,0.0,5.75700000,2.630000e-24,anti-B'_10,-20513,0.00000000
B_1(H)+,194,20523,1.0,5.75700000,2.630000e-24,B'_1+,20523,0.00000000
B_1(H)-,198,-20523,-1.0,5.75700000,2.630000e-24,B'_1-,-20523,0.00000000
B_1(L)0,203,10513,0.0,5.72610000,3.134000e-23,B_10,10513,0.00000000
B_1(L)~0,207,-10513,0.0,5.72610000,3.134000e-23,anti-B_10,-10513,0.00000000
B_1(L)+,195,10523,1.0,5.72590000,3.134000e-23,B_1+,10523,0.00000000
B_1(L)-,199,-10523,-1.0,5.72590000,3.134000e-23,B_1-,-10523,0.00000000
B*_20,204,515,0.0,5.73950000,2.861792e-23,B_2*0,515,0.00000000
B*_2~0,208,-515,0.0,5.73950000,2.861792e-23,anti-B_2*0,-515,0.00000000
B*_2+,196,525,1.0,5.73720000,3.291060e-23,B_2*+,525,0.00000000
B*_2-,200,-525,-1.0,5.73720000,3.291060e-23,B_2*-,-525,0.00000000
B_s0,75,531,0.0,5.36688000,1.512000e-12,B_s0,531,0.00000000
B_s~0,76,-531,0.0,5.36688000,1.512000e-12,anti-B_s0,-531,0.00000000
B_s0H,99996,530,0.0,5.36677000,1.661000e-12,B_s0H,0,0.00000000
B_s0L,99997,350,0.0,5.36677000,1.405000e-12,B_s0L,0,0.00000000
B*_s0,191,533,0.0,5.41540000,1.000000e-19,B_s*0,533,0.00000000
B*_s~0,192,-533,0.0,5.41540000,1.000000e-19,anti-B_s*0,-533,0.00000000
B*_s00,209,10531,0.0,5.84100000,4.390000e-24,B_s0*0,10531,0.00000000
B*_s0~0,213,-10531,0.0,5.84100000,4.390000e-24,anti-B_s0*0,-10531,0.00000000
B_s1(H)0,210,20533,0.0,5.85900000,2.630000e-24,B'_s10,20533,0.00000000
B_s1(H)~0,214,-20533,0.0,5.85900000,2.630000e-24,anti-B'_s10,-20533,0.00000000
B_s1(L)0,211,10533,0.0,5.82870000,1.316424e-21,B_s10,10533,0.00000000
B_s1(L)~0,215,-10533,0.0,5.82870000,1.316424e-21,anti-B_s10,-10533,0.00000000
B*_s20,212,535,0.0,5.83985000,4.477633e-22,B_s2*0,535,0.00000000
B*_s2~0,216,-535,0.0,5.83985000,4.477633e-22,anti-B_s2*0,-535,0.00000000
B_c+,77,541,1.0,6.27447000,5.070971e-13,B_c+,541,0.00000000
B_c-,78,-541,-1.0,6.27447000,5.070971e-13,B_c-,-541,0.00000000
B_c*+,382,543,1.0,6.33330000,0.000000e+00,B_c*+,543,0.00000000
B_c*-,383,-543,-1.0,6.33330000,0.000000e+00,B_c*-,-543,0.00000000
B_c0*+,607,10541,1.0,6.70600000,0.000000e+00,B_c0*+,10541,0.00000000
B_c0*-,608,-10541,-1.0,6.70600000,0.000000e+00,B_c0*-,-10541,0.00000000
B_c1(L)+,609,10543,1.0,6.74100000,0.000000e+00,B_c1+,10543,0.00000000
B_c1(L)-,610,-10543,-1.0,6.74100000,0.000000e+00,B_c1-,-10543,0.00000000
B_c1(H)+,693,20543,1.0,6.75000000,0.000000e+00,B'_c1+,20543,0.00000000
B_c1(H)-,694,-20543,-1.0,6.75000000,0.000000e+00,B'_c1-,-20543,0.00000000
B_c2*+,384,545,1.0,6.76800000,0.000000e+00,B_c2*+,545,0.00000000
B_c2*-,385,-545,-1.0,6.76800000,0.000000e+00,B_c2*-,-545,0.00000000
B_c(2S)+,100541,100541,1.0,6.87210000,0.000000e+00,B_c(2S)+,100541,0.00000000
B_c(2S)-,100542,-100541,-1.0,6.87210000,0.000000e+00,B_c(2S)-,-100541,0.00000000
B_c*(2S)+,100543,100543,1.0,6.90000000,0.000000e+00,B_c*(2S)+,100543,0.00000000
B_c*(2S)-,100544,-100543,-1.0,6.90000000,0.000000e+00,B_c*(2S)-,-100543,0.00000000
eta_c(1S),128,441,0.0,2.98390000,2.216203e-23,eta_c,441,0.00000000
J/psi(1S),64,443,0.0,3.09690000,7.085169e-21,J/psi,443,0.00000000
chi_c0(1P),129,10441,0.0,3.41471000,6.328963e-23,chi_c0,10441,0.00000000
chi_c1(1P),130,20443,0.0,3.51067000,7.835857e-22,chi_c1,20443,0.00000000
h_c(1P),606,10443,0.0,3.52538000,9.403029e-22,h_c,10443,0.00000000
chi_c2(1P),131,445,0.0,3.55617000,3.410425e-22,chi_c2,445,0.00000000
eta_c(2S),829,100441,0.0,3.63750000,6.582122e-23,eta_c(2S),100441,0.00000000
psi(2S),126,100443,0.0,3.68609700,2.238816e-21,psi(2S),100443,0.00000000
psi(3770),765,30443,0.0,3.77313000,2.419898e-23,psi(3770),30443,0.00000000
chi_c2(2P),1031,100445,0.0,3.92720000,2.742551e-23,chi_c2(2P),0,0.00000000
psi(4040),851,9000443,0.0,4.03900000,8.227652e-24,psi(4040),0,0.00000000
psi(4160),853,9010443,0.0,4.19100000,9.403029e-24,psi(4160),0,0.00000000
psi(4415),856,9020443,0.0,4.42100000,1.061633e-23,psi(4415),0,0.00000000
X_1(3872),1016,9920443,0.0,3.87169000,2.076340e-21,X_1(3872),9920443,0.00000000
X_2(3872),1017,9910445,0.0,3.87169000,2.076340e-21,X_2(3872),9910445,0.00000000
Z(4430)+,1018,9042413,1.0,4.47800000,3.630504e-24,Z(4430)+,9042413,0.00000000
Z(4430)-,1019,-9042413,-1.0,4.47800000,3.630504e-24,Z(4430)-,-9042413,0.00000000
eta_b(1S),386,551,0.0,9.39870000,6.582120e-23,eta_b,551,0.00000000
eta_b(2S),830,100551,0.0,9.99700000,0.000000e+00,eta_b(2S),0,0.00000000
eta_b(3S),843,200551,0.0,10.33500000,0.000000e+00,eta_b(3S),0,0.00000000
eta_b2(1D),613,10555,0.0,10.15700000,0.000000e+00,eta_b2(1D),10555,0.00000000
eta_b2(2D),836,110555,0.0,10.44100000,0.000000e+00,eta_b2(2D),110555,0.00000000
Upsilon(1S),387,553,0.0,9.46030000,1.218911e-20,Upsilon,553,0.00000000
Upsilon(2S),831,100553,0.0,10.02326000,2.058199e-20,Upsilon(2S),100553,0.00000000
Upsilon(3S),844,200553,0.0,10.35520000,3.242425e-20,Upsilon(3S),200553,0.00000000
Upsilon_1(1D),766,30553,0.0,10.16370000,0.000000e+00,Upsilon_1(1D),30553,0.00000000
Upsilon_1(2D),839,130553,0.0,10.43490000,0.000000e+00,Upsilon_1(2D),130553,0.00000000
Upsilon_2(1D),696,20555,0.0,10.15620000,0.000000e+00,Upsilon_2(1D),20555,0.00000000
Upsilon_2(2D),838,120555,0.0,10.44060000,0.000000e+00,Upsilon_2(2D),120555,0.00000000
Upsilon_3(1D),389,557,0.0,10.15990000,0.000000e+00,Upsilon_3(1D),557,0.00000000
Upsilon_3(2D),833,100557,0.0,10.44430000,0.000000e+00,Upsilon_3(2D),100557,0.00000000
Upsilon(4S),849,300553,0.0,10.57940000,3.210791e-23,Upsilon(4S),300553,0.00000000
Upsilon(10860),852,9000553,0.0,10.88990000,1.290612e-23,Upsilon(5S),0,0.00000000
Upsilon(11020),854,9010553,0.0,10.99290000,1.343290e-23,Upsilon(11020),0,0.00000000
chi_b0(1P),611,10551,0.0,9.85940000,0.000000e+00,chi_b0,10551,0.00000000
chi_b0(2P),834,110551,0.0,10.23250000,0.000000e+00,chi_b0(2P),110551,0.00000000
chi_b0(3P),846,210551,0.0,10.50040000,0.000000e+00,chi_b0(3P),210551,0.00000000
chi_b1(3P),848,220553,0.0,10.51210000,0.000000e+00,chi_b1(3P),220553,0.00000000
chi_b1(1P),695,20553,0.0,9.89287800,0.000000e+00,chi_b1,20553,0.00000000
chi_b1(2P),837,120553,0.0,10.25546000,0.000000e+00,chi_b1(2P),120553,0.00000000
chi_b2(1P),388,555,0.0,9.91221000,0.000000e+00,chi_b2,555,0.00000000
chi_b2(2P),832,100555,0.0,10.26865000,0.000000e+00,chi_b2(2P),100555,0.00000000
chi_b2(3P),845,200555,0.0,10.52620000,0.000000e+00,chi_b2(3P),200555,0.00000000
h_b(1P),612,10553,0.0,9.89930000,0.000000e+00,h_b,10553,0.00000000
h_b(2P),835,110553,0.0,10.25500000,0.000000e+00,h_b(2P),110553,0.00000000
